pcap_id,pcap_path,binary_label,status,error_message,manifest_file_size,disk_file_size,input_file_size,output_path,output_row_count,output_file_size,packets_processed,windows_written,resumed,elapsed_seconds,feature_strategy_version,feature_build_strategy_version,feature_schema_sha256
TCP_IP-DDoS-ICMP4_train-c9aeedc59b581cd1,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP4_train.pcap,ATTACK,ok,,1495000009,1495000009,1495000009,data/features/v1/train/TCP_IP-DDoS-ICMP4_train-c9aeedc59b581cd1.parquet,770663,21598290,19266601,770663,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-ICMP5_train-4724735ee6467501,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP5_train.pcap,ATTACK,ok,,1495000034,1495000034,1495000034,data/features/v1/train/TCP_IP-DDoS-ICMP5_train-4724735ee6467501.parquet,779850,21951098,19496250,779850,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-ICMP6_train-4538ea64f1e348f0,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP6_train.pcap,ATTACK,ok,,1495000034,1495000034,1495000034,data/features/v1/train/TCP_IP-DDoS-ICMP6_train-4538ea64f1e348f0.parquet,763199,22813252,19080009,763199,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-ICMP7_train-53ea8e2f1c5f3000,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP7_train.pcap,ATTACK,ok,,1495000006,1495000006,1495000006,data/features/v1/train/TCP_IP-DDoS-ICMP7_train-53ea8e2f1c5f3000.parquet,743766,23184360,18594177,743766,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-ICMP8_train-15c1ca3db9818fb4,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP8_train.pcap,ATTACK,ok,,1495000072,1495000072,1495000072,data/features/v1/train/TCP_IP-DDoS-ICMP8_train-15c1ca3db9818fb4.parquet,773061,23787561,19326527,773061,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-SYN1_train-9270598c7ec08c19,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN1_train.pcap,ATTACK,ok,,1556000011,1556000011,1556000011,data/features/v1/train/TCP_IP-DDoS-SYN1_train-9270598c7ec08c19.parquet,797279,25229653,19931997,797279,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-SYN2_train-84f7f6654a0c81a1,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,ATTACK,ok,,1556000071,1556000071,1556000071,data/features/v1/train/TCP_IP-DDoS-SYN2_train-84f7f6654a0c81a1.parquet,814389,25406984,20359731,814389,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-SYN3_train-cb4d02ece5623b20,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN3_train.pcap,ATTACK,ok,,1556000070,1556000070,1556000070,data/features/v1/train/TCP_IP-DDoS-SYN3_train-cb4d02ece5623b20.parquet,807785,24704791,20194641,807785,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-SYN4_train-1f8cd468774497a0,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN4_train.pcap,ATTACK,ok,,1556000060,1556000060,1556000060,data/features/v1/train/TCP_IP-DDoS-SYN4_train-1f8cd468774497a0.parquet,787191,25626040,19679812,787191,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-TCP1_train-4bd6e516680531ed,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP1_train.pcap,ATTACK,ok,,1576000045,1576000045,1576000045,data/features/v1/train/TCP_IP-DDoS-TCP1_train-4bd6e516680531ed.parquet,808944,25690873,20223622,808944,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-TCP2_train-eb9fb6bc59c007af,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP2_train.pcap,ATTACK,ok,,1576001283,1576001283,1576001283,data/features/v1/train/TCP_IP-DDoS-TCP2_train-eb9fb6bc59c007af.parquet,788029,25472465,19700758,788029,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-TCP3_train-168296df72c3c541,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP3_train.pcap,ATTACK,ok,,1576000036,1576000036,1576000036,data/features/v1/train/TCP_IP-DDoS-TCP3_train-168296df72c3c541.parquet,815984,25118857,20399613,815984,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-TCP4_train-c56180c095ed3093,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP4_train.pcap,ATTACK,ok,,1576000070,1576000070,1576000070,data/features/v1/train/TCP_IP-DDoS-TCP4_train-c56180c095ed3093.parquet,803640,25906843,20091019,803640,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-UDP1_train-e3823a133c7c569e,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP1_train.pcap,ATTACK,ok,,1576000011,1576000011,1576000011,data/features/v1/train/TCP_IP-DDoS-UDP1_train-e3823a133c7c569e.parquet,824358,24619161,20608951,824358,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-UDP2_train-c29b03842b9c5b00,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP2_train.pcap,ATTACK,ok,,1576000014,1576000014,1576000014,data/features/v1/train/TCP_IP-DDoS-UDP2_train-c29b03842b9c5b00.parquet,828890,24934499,20722273,828890,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-UDP3_train-12fd00f6a441a65c,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP3_train.pcap,ATTACK,ok,,1576000001,1576000001,1576000001,data/features/v1/train/TCP_IP-DDoS-UDP3_train-12fd00f6a441a65c.parquet,826055,25432055,20651397,826055,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-UDP4_train-68f9dab91e62964a,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP4_train.pcap,ATTACK,ok,,1576000023,1576000023,1576000023,data/features/v1/train/TCP_IP-DDoS-UDP4_train-68f9dab91e62964a.parquet,825057,25778527,20626463,825057,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-UDP5_train-3ef3823976c230ac,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP5_train.pcap,ATTACK,ok,,1576000022,1576000022,1576000022,data/features/v1/train/TCP_IP-DDoS-UDP5_train-3ef3823976c230ac.parquet,821720,25372276,20543021,821720,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-UDP6_train-20f2f44028c0469f,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP6_train.pcap,ATTACK,ok,,1576000006,1576000006,1576000006,data/features/v1/train/TCP_IP-DDoS-UDP6_train-20f2f44028c0469f.parquet,808675,25321030,20216876,808675,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-UDP7_train-3cc1cec95e30615c,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP7_train.pcap,ATTACK,ok,,1576000030,1576000030,1576000030,data/features/v1/train/TCP_IP-DDoS-UDP7_train-3cc1cec95e30615c.parquet,790422,24321771,19760583,790422,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-UDP8_train-214596633bc14c17,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP8_train.pcap,ATTACK,ok,,1576000061,1576000061,1576000061,data/features/v1/train/TCP_IP-DDoS-UDP8_train-214596633bc14c17.parquet,816104,24640076,20402619,816104,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-ICMP1_train-bb42fe5d34df6405,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-ICMP1_train.pcap,ATTACK,ok,,839000042,839000042,839000042,data/features/v1/train/TCP_IP-DoS-ICMP1_train-bb42fe5d34df6405.parquet,417851,13559941,10446280,417851,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-ICMP2_train-705c10e1a9476694,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-ICMP2_train.pcap,ATTACK,ok,,839000014,839000014,839000014,data/features/v1/train/TCP_IP-DoS-ICMP2_train-705c10e1a9476694.parquet,387752,12929135,9693860,387752,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-ICMP3_train-7b8e8c5c841bcd62,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-ICMP3_train.pcap,ATTACK,ok,,839000053,839000053,839000053,data/features/v1/train/TCP_IP-DoS-ICMP3_train-7b8e8c5c841bcd62.parquet,434529,13623649,10863247,434529,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-ICMP4_train-2063df179b821a12,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-ICMP4_train.pcap,ATTACK,ok,,839000003,839000003,839000003,data/features/v1/train/TCP_IP-DoS-ICMP4_train-2063df179b821a12.parquet,424302,13783036,10607586,424302,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-SYN1_train-39759543872c0660,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-SYN1_train.pcap,ATTACK,ok,,901000069,901000069,901000069,data/features/v1/train/TCP_IP-DoS-SYN1_train-39759543872c0660.parquet,445545,16616199,11138638,445545,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-SYN2_train-143bfea32194d333,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-SYN2_train.pcap,ATTACK,ok,,901000021,901000021,901000021,data/features/v1/train/TCP_IP-DoS-SYN2_train-143bfea32194d333.parquet,446432,15411333,11160843,446432,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-SYN3_train-d7c95d3330c6de73,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-SYN3_train.pcap,ATTACK,ok,,901000027,901000027,901000027,data/features/v1/train/TCP_IP-DoS-SYN3_train-d7c95d3330c6de73.parquet,432548,14765668,10813744,432548,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-SYN4_train-6f58a2b6be91c88c,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-SYN4_train.pcap,ATTACK,ok,,901000009,901000009,901000009,data/features/v1/train/TCP_IP-DoS-SYN4_train-6f58a2b6be91c88c.parquet,442398,14954092,11059982,442398,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-TCP1_train-6a08fbf1e5b3072a,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-TCP1_train.pcap,ATTACK,ok,,757000067,757000067,757000067,data/features/v1/train/TCP_IP-DoS-TCP1_train-6a08fbf1e5b3072a.parquet,381507,12646242,9537689,381507,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-TCP2_train-8853e4b749af42d2,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-TCP2_train.pcap,ATTACK,ok,,757000002,757000002,757000002,data/features/v1/train/TCP_IP-DoS-TCP2_train-8853e4b749af42d2.parquet,381940,12812901,9548514,381940,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-TCP3_train-d43deb6bda91d593,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-TCP3_train.pcap,ATTACK,ok,,757000013,757000013,757000013,data/features/v1/train/TCP_IP-DoS-TCP3_train-d43deb6bda91d593.parquet,383711,12659604,9592792,383711,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-TCP4_train-ee50fb6ee9902745,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-TCP4_train.pcap,ATTACK,ok,,757000028,757000028,757000028,data/features/v1/train/TCP_IP-DoS-TCP4_train-ee50fb6ee9902745.parquet,373802,12217275,9345102,373802,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-UDP1_train-57283084e42b6cee,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-UDP1_train.pcap,ATTACK,ok,,1146000031,1146000031,1146000031,data/features/v1/train/TCP_IP-DoS-UDP1_train-57283084e42b6cee.parquet,547810,18136428,13695288,547810,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-UDP2_train-e7214b7f20307dd7,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-UDP2_train.pcap,ATTACK,ok,,1146000038,1146000038,1146000038,data/features/v1/train/TCP_IP-DoS-UDP2_train-e7214b7f20307dd7.parquet,561724,18220224,14043139,561724,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-UDP3_train-2a3160949fce0092,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-UDP3_train.pcap,ATTACK,ok,,1146000043,1146000043,1146000043,data/features/v1/train/TCP_IP-DoS-UDP3_train-2a3160949fce0092.parquet,584337,18521159,14608427,584337,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DoS-UDP4_train-26a982778d5c9918,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-UDP4_train.pcap,ATTACK,ok,,1146000076,1146000076,1146000076,data/features/v1/train/TCP_IP-DoS-UDP4_train-26a982778d5c9918.parquet,572994,19606499,14324896,572994,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
Active-75691db1b5d9bcb7,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,BENIGN,ok,,406062940,406062940,406062940,data/features/v1/train/Active-75691db1b5d9bcb7.parquet,41622,2484332,1040643,41622,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
ActiveBroker-773ce2fbdc89f2e6,data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,BENIGN,ok,,189852749,189852749,189852749,data/features/v1/train/ActiveBroker-773ce2fbdc89f2e6.parquet,79238,3885796,1981055,79238,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
Idle-d722d61af6fa2e4f,data/raw/WiFI_and_MQTT/profiling/PCAP/Idle/Idle.pcap,BENIGN,ok,,73715235,73715235,73715235,data/features/v1/train/Idle-d722d61af6fa2e4f.parquet,13149,853065,328923,13149,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
Blink_Camera_LAN_MIC-de6bc19993839f4f,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_LAN_MIC.pcap,BENIGN,ok,,16322063,16322063,16322063,data/features/v1/train/Blink_Camera_LAN_MIC-de6bc19993839f4f.parquet,857,54164,21455,857,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
Blink_Camera_LAN_WATCH-3f8bf69fb1069588,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_LAN_WATCH.pcap,BENIGN,ok,,13989031,13989031,13989031,data/features/v1/train/Blink_Camera_LAN_WATCH-3f8bf69fb1069588.parquet,751,47698,18821,751,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
Blink_Camera_WAN_MIC-e15dc3ec7ec45279,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_WAN_MIC.pcap,BENIGN,ok,,16346146,16346146,16346146,data/features/v1/train/Blink_Camera_WAN_MIC-e15dc3ec7ec45279.parquet,885,55521,22173,885,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
Blink_Camera_WAN_WATCH-d368ff79b64700f1,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_WAN_WATCH.pcap,BENIGN,ok,,11186820,11186820,11186820,data/features/v1/train/Blink_Camera_WAN_WATCH-d368ff79b64700f1.parquet,632,42249,15857,632,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
Ecobee_Camera_LAN_MIC-bd23bc998ec6fbae,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_LAN_MIC.pcap,BENIGN,ok,,15712140,15712140,15712140,data/features/v1/train/Ecobee_Camera_LAN_MIC-bd23bc998ec6fbae.parquet,1547,93371,38731,1547,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
