pcap_path,pcap_id,group,binary_label,attack_family,attack_type,profiling_type,row_count,tcp_urg_ratio_nonzero_windows,tcp_urg_ratio_max,frame_length_max_max,frame_length_max_eq_8754_windows,ipv6_ratio_nonzero_windows,llc_ratio_nonzero_windows,igmp_ratio_nonzero_windows,icmpv6_ratio_nonzero_windows,window_span_seconds_mean,iat_mean_seconds_mean
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP5_train.pcap,TCP_IP-DDoS-ICMP5_train-4724735ee6467501,DDoS,ATTACK,DDoS,DDoS_ICMP,,779850,0,0.0,1514.0,0,34,28,0,1,0.00047821932223589595,1.992603141782385e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP6_train.pcap,TCP_IP-DDoS-ICMP6_train-4538ea64f1e348f0,DDoS,ATTACK,DDoS,DDoS_ICMP,,763199,0,0.0,1514.0,0,50,16,0,0,0.0006725761806655495,2.802409368331751e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP7_train.pcap,TCP_IP-DDoS-ICMP7_train-53ea8e2f1c5f3000,DDoS,ATTACK,DDoS,DDoS_ICMP,,743766,0,0.0,1514.0,0,69,13,0,4,0.001413426954933842,5.889291222790718e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP8_train.pcap,TCP_IP-DDoS-ICMP8_train-15c1ca3db9818fb4,DDoS,ATTACK,DDoS,DDoS_ICMP,,773061,0,0.0,1514.0,0,46,3,2,1,0.00062672441926778,2.6113602937194853e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN1_train.pcap,TCP_IP-DDoS-SYN1_train-9270598c7ec08c19,DDoS,ATTACK,DDoS,DDoS_SYN,,797279,0,0.0,1514.0,0,57,7,0,6,0.0007394969052691249,3.0816612989869616e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,TCP_IP-DDoS-SYN2_train-84f7f6654a0c81a1,DDoS,ATTACK,DDoS,DDoS_SYN,,814389,0,0.0,1514.0,0,76,1,4,13,0.00047428554755398405,1.97670262572135e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN3_train.pcap,TCP_IP-DDoS-SYN3_train-cb4d02ece5623b20,DDoS,ATTACK,DDoS,DDoS_SYN,,807785,0,0.0,1514.0,0,40,1,0,6,0.00045747433265867326,1.9064343016371894e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN4_train.pcap,TCP_IP-DDoS-SYN4_train-1f8cd468774497a0,DDoS,ATTACK,DDoS,DDoS_SYN,,787191,0,0.0,1514.0,0,123,18,3,17,0.0013217792319255863,5.5077818591248654e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP1_train.pcap,TCP_IP-DDoS-TCP1_train-4bd6e516680531ed,DDoS,ATTACK,DDoS,DDoS_TCP,,808944,0,0.0,1514.0,0,49,0,4,6,0.0004278156075896067,1.782992300269317e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP2_train.pcap,TCP_IP-DDoS-TCP2_train-eb9fb6bc59c007af,DDoS,ATTACK,DDoS,DDoS_TCP,,788029,0,0.0,1514.0,0,118,16,3,10,0.0017326493649050994,7.219794468466685e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP3_train.pcap,TCP_IP-DDoS-TCP3_train-168296df72c3c541,DDoS,ATTACK,DDoS,DDoS_TCP,,815984,0,0.0,1514.0,0,54,1,0,0,0.0006230200216951047,2.5962223269476966e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP4_train.pcap,TCP_IP-DDoS-TCP4_train-c56180c095ed3093,DDoS,ATTACK,DDoS,DDoS_TCP,,803640,0,0.0,1514.0,0,60,8,0,1,0.0008877646065085828,3.699391002146571e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP1_train.pcap,TCP_IP-DDoS-UDP1_train-e3823a133c7c569e,DDoS,ATTACK,DDoS,DDoS_UDP,,824358,0,0.0,1514.0,0,36,0,0,1,0.000411926937521364,1.7164364877736712e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP2_train.pcap,TCP_IP-DDoS-UDP2_train-c29b03842b9c5b00,DDoS,ATTACK,DDoS,DDoS_UDP,,828890,0,0.0,1514.0,0,20,0,0,1,0.0004008710376458907,1.67038019801837e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP3_train.pcap,TCP_IP-DDoS-UDP3_train-12fd00f6a441a65c,DDoS,ATTACK,DDoS,DDoS_UDP,,826055,0,0.0,1514.0,0,29,13,8,9,0.00039315284708777196,1.6381726521337538e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP4_train.pcap,TCP_IP-DDoS-UDP4_train-68f9dab91e62964a,DDoS,ATTACK,DDoS,DDoS_UDP,,825057,0,0.0,1514.0,0,49,12,0,1,0.00043056040290787755,1.794186518679596e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP5_train.pcap,TCP_IP-DDoS-UDP5_train-3ef3823976c230ac,DDoS,ATTACK,DDoS,DDoS_UDP,,821720,0,0.0,1514.0,0,59,3,0,2,0.0009428750959162482,3.928765646101319e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP6_train.pcap,TCP_IP-DDoS-UDP6_train-20f2f44028c0469f,DDoS,ATTACK,DDoS,DDoS_UDP,,808675,0,0.0,1514.0,0,38,1,0,0,0.00042262706520141183,1.7610451936355725e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP7_train.pcap,TCP_IP-DDoS-UDP7_train-3cc1cec95e30615c,DDoS,ATTACK,DDoS,DDoS_UDP,,790422,0,0.0,1514.0,0,195,71,8,38,0.0018042834025621308,7.517922837618719e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-UDP8_train.pcap,TCP_IP-DDoS-UDP8_train-214596633bc14c17,DDoS,ATTACK,DDoS,DDoS_UDP,,816104,0,0.0,1514.0,0,33,7,0,15,0.0003834526597370842,1.5978742839078347e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-ICMP1_train.pcap,TCP_IP-DoS-ICMP1_train-bb42fe5d34df6405,DoS,ATTACK,DoS,DoS_ICMP,,417851,0,0.0,1514.0,0,53,4,3,15,0.0009107456039843584,3.794786128611343e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-ICMP2_train.pcap,TCP_IP-DoS-ICMP2_train-705c10e1a9476694,DoS,ATTACK,DoS,DoS_ICMP,,387752,0,0.0,1514.0,0,213,112,2,6,0.005373024399278728,0.00022387612423954372
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-ICMP3_train.pcap,TCP_IP-DoS-ICMP3_train-7b8e8c5c841bcd62,DoS,ATTACK,DoS,DoS_ICMP,,434529,0,0.0,1514.0,0,54,2,0,3,0.0010604064213036446,4.418360550573191e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-ICMP4_train.pcap,TCP_IP-DoS-ICMP4_train-2063df179b821a12,DoS,ATTACK,DoS,DoS_ICMP,,424302,0,0.0,1514.0,0,70,9,8,9,0.0017899556549734832,7.458160362452113e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-SYN1_train.pcap,TCP_IP-DoS-SYN1_train-39759543872c0660,DoS,ATTACK,DoS,DoS_SYN,,445545,0,0.0,1514.0,0,44,0,11,11,0.0010013488747741296,4.17318142136405e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-SYN2_train.pcap,TCP_IP-DoS-SYN2_train-143bfea32194d333,DoS,ATTACK,DoS,DoS_SYN,,446432,0,0.0,1514.0,0,78,2,25,28,0.0013924728801033247,5.802418578230881e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-SYN3_train.pcap,TCP_IP-DoS-SYN3_train-d7c95d3330c6de73,DoS,ATTACK,DoS,DoS_SYN,,432548,0,0.0,1514.0,0,120,9,6,12,0.002218037549090145,9.242514731663076e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-SYN4_train.pcap,TCP_IP-DoS-SYN4_train-6f58a2b6be91c88c,DoS,ATTACK,DoS,DoS_SYN,,442398,0,0.0,1514.0,0,149,20,6,20,0.0030513003226873767,0.0001271423900272938
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-TCP1_train.pcap,TCP_IP-DoS-TCP1_train-6a08fbf1e5b3072a,DoS,ATTACK,DoS,DoS_TCP,,381507,0,0.0,1514.0,0,103,7,5,14,0.0028887486851348755,0.00012036805208320984
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-TCP2_train.pcap,TCP_IP-DoS-TCP2_train-8853e4b749af42d2,DoS,ATTACK,DoS,DoS_TCP,,381940,0,0.0,1514.0,0,79,2,0,5,0.0021496578536807924,8.957226674219772e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-TCP3_train.pcap,TCP_IP-DoS-TCP3_train-d43deb6bda91d593,DoS,ATTACK,DoS,DoS_TCP,,383711,0,0.0,1514.0,0,42,0,0,2,0.0013043434079062454,5.435184257657157e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-TCP4_train.pcap,TCP_IP-DoS-TCP4_train-ee50fb6ee9902745,DoS,ATTACK,DoS,DoS_TCP,,373802,0,0.0,1514.0,0,81,9,7,7,0.002373151801217881,9.888409980910926e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-UDP1_train.pcap,TCP_IP-DoS-UDP1_train-57283084e42b6cee,DoS,ATTACK,DoS,DoS_UDP,,547810,0,0.0,1514.0,0,113,68,0,18,0.001993220500187367,8.305086599798556e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-UDP2_train.pcap,TCP_IP-DoS-UDP2_train-e7214b7f20307dd7,DoS,ATTACK,DoS,DoS_UDP,,561724,0,0.0,1514.0,0,126,10,6,13,0.0019100601978502881,7.95858457507631e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-UDP3_train.pcap,TCP_IP-DoS-UDP3_train-2a3160949fce0092,DoS,ATTACK,DoS,DoS_UDP,,584337,0,0.0,1514.0,0,68,1,4,12,0.00101440213005133,4.226678583296411e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-UDP4_train.pcap,TCP_IP-DoS-UDP4_train-26a982778d5c9918,DoS,ATTACK,DoS,DoS_UDP,,572994,0,0.0,1514.0,0,192,18,7,34,0.004020932741849916,0.0001675388804366846
data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,profiling_active,BENIGN,,,active,41622,0,0.0,8754.0,2,1020,51,5,114,2.392297128289272,0.09967904701515577
data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,ActiveBroker-773ce2fbdc89f2e6,profiling_active,BENIGN,,,active,79238,0,0.0,718.0,0,4142,0,0,30,1.2560883889563823,0.05233701693905574
data/raw/WiFI_and_MQTT/profiling/PCAP/Idle/Idle.pcap,Idle-d722d61af6fa2e4f,profiling_idle,BENIGN,,,idle,13149,0,0.0,2962.0,0,1255,6,3,92,6.823056410071387,0.28429401708932983
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_LAN_MIC.pcap,Blink_Camera_LAN_MIC-de6bc19993839f4f,profiling_interaction,BENIGN,,,interaction,857,0,0.0,2974.0,0,0,0,0,0,0.30165289858814714,0.012568870774506132
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_LAN_WATCH.pcap,Blink_Camera_LAN_WATCH-3f8bf69fb1069588,profiling_interaction,BENIGN,,,interaction,751,0,0.0,1451.0,0,0,0,0,0,0.3479587079364355,0.014498279497351477
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_WAN_MIC.pcap,Blink_Camera_WAN_MIC-e15dc3ec7ec45279,profiling_interaction,BENIGN,,,interaction,885,0,0.0,2974.0,0,0,0,0,0,0.2828722582025043,0.011786344091771013
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Blink_Camera/Blink_Camera_WAN_WATCH.pcap,Blink_Camera_WAN_WATCH-d368ff79b64700f1,profiling_interaction,BENIGN,,,interaction,632,0,0.0,1451.0,0,0,0,0,0,0.39630374161502985,0.01651265590062624
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_LAN_MIC.pcap,Ecobee_Camera_LAN_MIC-bd23bc998ec6fbae,profiling_interaction,BENIGN,,,interaction,1547,0,0.0,2962.0,0,2,0,0,2,0.1580454549561336,0.006585227289838899
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_LAN_WATCH.pcap,Ecobee_Camera_LAN_WATCH-86027c5a7abe11b1,profiling_interaction,BENIGN,,,interaction,1464,0,0.0,5778.0,0,0,0,0,0,0.21507118275908174,0.008961299281628405
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_WAN_MIC.pcap,Ecobee_Camera_WAN_MIC-9f00e38f021daf12,profiling_interaction,BENIGN,,,interaction,1433,0,0.0,2962.0,0,0,0,0,0,0.17688579203278887,0.007370241334699536
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Ecobee_Camera/Ecobee_Camera_WAN_WATCH.pcap,Ecobee_Camera_WAN_WATCH-d8fd5b4e4a5384d9,profiling_interaction,BENIGN,,,interaction,1334,0,0.0,2962.0,0,0,0,0,0,0.21335406264086357,0.008889752610035983
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_LAN_MIC.pcap,M1T_Camera_LAN_MIC-82292e094d4c92fc,profiling_interaction,BENIGN,,,interaction,643,0,0.0,1308.0,0,0,0,0,0,0.4362319212864569,0.01817633005360237
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_LAN_PHOTO.pcap,M1T_Camera_LAN_PHOTO-5c311124058e65a8,profiling_interaction,BENIGN,,,interaction,56,0,0.0,1242.0,0,0,0,0,0,1.0129046312400274,0.04220435963500114
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_LAN_PRECORDING.pcap,M1T_Camera_LAN_PRECORDING-52238a5ec47bd101,profiling_interaction,BENIGN,,,interaction,338,0,0.0,1242.0,0,0,0,0,0,0.7872351062368359,0.032801462759868165
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_LAN_WATCH.pcap,M1T_Camera_LAN_WATCH-be56cf109f9deaa9,profiling_interaction,BENIGN,,,interaction,473,0,0.0,1474.0,0,0,0,0,0,0.4073527988369319,0.016973033284872163
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_MIC.pcap,M1T_Camera_WAN_MIC-81f4bd71b5e6453b,profiling_interaction,BENIGN,,,interaction,693,0,0.0,1300.0,0,0,0,0,0,0.3710298328344612,0.01545957636810255
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_PHOTO.pcap,M1T_Camera_WAN_PHOTO-3ed5188c39d7b60c,profiling_interaction,BENIGN,,,interaction,229,0,0.0,1308.0,0,0,0,0,0,0.40071307103186193,0.01669637795966091
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_RECORDING.pcap,M1T_Camera_WAN_RECORDING-24eb271fd02aef20,profiling_interaction,BENIGN,,,interaction,657,0,0.0,1308.0,0,0,0,0,0,0.38999815763766726,0.016249923234902805
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_WATCH.pcap,M1T_Camera_WAN_WATCH-87c44d4b3f40c536,profiling_interaction,BENIGN,,,interaction,629,0,0.0,1300.0,0,0,0,0,0,0.46718933661905115,0.019466222359127133
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_LAN_MIC.pcap,Owltron_Camera_LAN_MIC-513871f21444e330,profiling_interaction,BENIGN,,,interaction,1555,0,0.0,2498.0,0,0,0,0,0,0.15959516813517383,0.006649798672298909
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_LAN_PHOTO.pcap,Owltron_Camera_LAN_PHOTO-69a017e92848fbf2,profiling_interaction,BENIGN,,,interaction,351,0,0.0,1607.0,0,0,0,0,0,0.2641194084091404,0.01100497535038085
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_LAN_RECORDING.pcap,Owltron_Camera_LAN_RECORDING-ca11ebd976e95b7a,profiling_interaction,BENIGN,,,interaction,1465,0,0.0,2498.0,0,0,0,0,0,0.16727354192896507,0.006969730913706879
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_LAN_WATCH.pcap,Owltron_Camera_LAN_WATCH-cda5a932525e6361,profiling_interaction,BENIGN,,,interaction,1223,0,0.0,2498.0,0,0,0,0,0,0.19125516709010326,0.007968965295420969
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_WAN_MIC.pcap,Owltron_Camera_WAN_MIC-7fcce3ac94583d03,profiling_interaction,BENIGN,,,interaction,1491,0,0.0,2498.0,0,0,0,0,0,0.1570018017395961,0.006541741739149838
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_WAN_PHOTO.pcap,Owltron_Camera_WAN_PHOTO-5c62c1a67a91c873,profiling_interaction,BENIGN,,,interaction,226,0,0.0,1591.0,0,0,1,0,0,0.3182840494982964,0.013261835395762351
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_WAN_RECORDING.pcap,Owltron_Camera_WAN_RECORDING-3648d530c3ad1085,profiling_interaction,BENIGN,,,interaction,1604,0,0.0,2498.0,0,0,0,0,0,0.15208142163450283,0.006336725901437619
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_WAN_WATCH.pcap,Owltron_Camera_WAN_WATCH-e3699111318bff69,profiling_interaction,BENIGN,,,interaction,1400,0,0.0,2498.0,0,0,0,0,0,0.17024439896856036,0.007093516623690014
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Singcall/Singcall_LAN_PHYSICAL.pcap,Singcall_LAN_PHYSICAL-015d084b26c99a8c,profiling_interaction,BENIGN,,,interaction,16,0,0.0,725.0,0,0,3,0,0,3.976183235645294,0.1656743014852206
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Singcall/Singcall_WAN_PHYSICAL.pcap,Singcall_WAN_PHYSICAL-648acf97ea26a9fb,profiling_interaction,BENIGN,,,interaction,12,0,0.0,709.0,0,0,3,0,0,4.379292845726013,0.1824705352385839
data/raw/WiFI_and_MQTT/profiling/PCAP/Power/Blink_Mini_Camera_Power.pcap,Blink_Mini_Camera_Power-ae915edb988f5bdc,profiling_power,BENIGN,,,power,15,0,0.0,2241.0,0,0,3,0,0,1.7862733999888103,0.07442805833286711
data/raw/WiFI_and_MQTT/profiling/PCAP/Power/Ecobee_Camera_Power.pcap,Ecobee_Camera_Power-670935afbd6dd632,profiling_power,BENIGN,,,power,90,0,0.0,2922.0,0,23,3,4,11,1.045490656958686,0.043562110706611916
data/raw/WiFI_and_MQTT/profiling/PCAP/Power/M1T_Camera_Power.pcap,M1T_Camera_Power-09122daa7d244f73,profiling_power,BENIGN,,,power,13,0,0.0,2962.0,0,0,3,3,0,2.4376957416534424,0.10157065590222676
data/raw/WiFI_and_MQTT/profiling/PCAP/Power/Owltron_Camera_Power.pcap,Owltron_Camera_Power-e29ebcb4aba84f5c,profiling_power,BENIGN,,,power,40,0,0.0,2962.0,0,0,3,0,0,1.9595575869083404,0.08164823278784752
data/raw/WiFI_and_MQTT/profiling/PCAP/Power/Singcall_Power.pcap,Singcall_Power-2e7ddb9f29135c81,profiling_power,BENIGN,,,power,16,0,0.0,1147.0,0,0,3,0,0,3.855185717344284,0.16063273822267848
