plan_id,cap_mode,binary_label,category,attack_family,attack_type,modeling_group_key,pcap_count,windows_available,cap_per_pcap,cap_per_modeling_group,windows_after_cap,fraction_retained,fraction_of_attack_sample,attack_to_benign_ratio
fullish,per_pcap,BENIGN,publisher_benign,,,benign|publisher|Benign_train,1,77427,,,77427,1.000000,,8.495926
fullish,per_pcap,BENIGN,profiling_active,,,benign|singleton|Active,1,41622,,,41622,1.000000,,8.495926
fullish,per_pcap,BENIGN,profiling_active,,,benign|singleton|ActiveBroker,1,79238,,,79238,1.000000,,8.495926
family_balanced,per_pcap,ATTACK,DDoS_ICMP,DDoS,DDoS_ICMP,DDoS|DDoS_ICMP,8,6147552,15000,,120000,0.019520,0.195684,2.905363
family_balanced,per_pcap,ATTACK,DDoS_SYN,DDoS,DDoS_SYN,DDoS|DDoS_SYN,4,3206644,15000,,60000,0.018711,0.097842,2.905363
family_balanced,per_pcap,ATTACK,DDoS_UDP,DDoS,DDoS_UDP,DDoS|DDoS_UDP,8,6541281,15000,,120000,0.018345,0.195684,2.905363
family_balanced,per_pcap,ATTACK,DoS_ICMP,DoS,DoS_ICMP,DoS|DoS_ICMP,4,1664434,15000,,60000,0.036048,0.097842,2.905363
family_balanced,per_pcap,ATTACK,DoS_SYN,DoS,DoS_SYN,DoS|DoS_SYN,4,1766923,15000,,60000,0.033957,0.097842,2.905363
family_balanced,per_pcap,ATTACK,DoS_UDP,DoS,DoS_UDP,DoS|DoS_UDP,4,2266865,15000,,60000,0.026468,0.097842,2.905363
family_balanced,per_pcap,ATTACK,MQTT_DDoS_Connect_Flood,MQTT,MQTT_DDoS_Connect_Flood,MQTT|MQTT_DDoS_Connect_Flood,1,691837,30000,,30000,0.043363,0.048921,2.905363
family_balanced,per_pcap,ATTACK,MQTT_DDoS_Publish_Flood,MQTT,MQTT_DDoS_Publish_Flood,MQTT|MQTT_DDoS_Publish_Flood,1,110171,30000,,30000,0.272304,0.048921,2.905363
family_balanced,per_pcap,ATTACK,MQTT_DoS_Connect_Flood,MQTT,MQTT_DoS_Connect_Flood,MQTT|MQTT_DoS_Connect_Flood,1,51077,30000,,30000,0.587349,0.048921,2.905363
family_balanced,per_pcap,ATTACK,MQTT_Malformed_Data,MQTT,MQTT_Malformed_Data,MQTT|MQTT_Malformed_Data,1,2053,30000,,2053,1.000000,0.003348,2.905363
family_balanced,per_pcap,ATTACK,Ping_Sweep,Recon,Ping_Sweep,Recon|Ping_Sweep,1,296,,,296,1.000000,0.000483,2.905363
family_balanced,per_pcap,ATTACK,Port_Scan,Recon,Port_Scan,Recon|Port_Scan,1,33594,,,33594,1.000000,0.054782,2.905363
family_balanced,per_pcap,ATTACK,VulScan,Recon,VulScan,Recon|VulScan,1,869,,,869,1.000000,0.001417,2.905363
family_balanced,per_pcap,ATTACK,ARP_Spoofing,Spoofing,ARP_Spoofing,Spoofing|ARP_Spoofing,1,6423,,,6423,1.000000,0.010474,2.905363
family_balanced,per_pcap,BENIGN,profiling_interaction,,,benign|device|Blink_Camera,4,3125,,,3125,1.000000,,2.905363
family_balanced,per_pcap,BENIGN,profiling_power,,,benign|device|Blink_Camera,1,15,,,15,1.000000,,2.905363
family_balanced,per_pcap,BENIGN,profiling_interaction,,,benign|device|Ecobee_Camera,4,5778,,,5778,1.000000,,2.905363
family_balanced,per_pcap,BENIGN,profiling_power,,,benign|device|Ecobee_Camera,1,90,,,90,1.000000,,2.905363
family_balanced,per_pcap,BENIGN,profiling_interaction,,,benign|device|M1T_Camera,8,3718,,,3718,1.000000,,2.905363
family_balanced,per_pcap,BENIGN,profiling_power,,,benign|device|M1T_Camera,1,13,,,13,1.000000,,2.905363
family_balanced,per_pcap,BENIGN,profiling_interaction,,,benign|device|Singcall,2,28,,,28,1.000000,,2.905363
family_balanced,per_pcap,BENIGN,profiling_power,,,benign|device|Singcall,1,16,,,16,1.000000,,2.905363
family_balanced,per_pcap,BENIGN,publisher_benign,,,benign|publisher|Benign_train,1,77427,,,77427,1.000000,,2.905363
family_balanced,per_pcap,BENIGN,profiling_active,,,benign|singleton|Active,1,41622,,,41622,1.000000,,2.905363
family_balanced,per_pcap,BENIGN,profiling_active,,,benign|singleton|ActiveBroker,1,79238,,,79238,1.000000,,2.905363
aggressive,per_pcap,ATTACK,DDoS_ICMP,DDoS,DDoS_ICMP,DDoS|DDoS_ICMP,8,6147552,8000,,64000,0.010411,0.185920,1.630904
aggressive,per_pcap,ATTACK,DDoS_SYN,DDoS,DDoS_SYN,DDoS|DDoS_SYN,4,3206644,8000,,32000,0.009979,0.092960,1.630904
aggressive,per_pcap,ATTACK,DDoS_UDP,DDoS,DDoS_UDP,DDoS|DDoS_UDP,8,6541281,8000,,64000,0.009784,0.185920,1.630904
aggressive,per_pcap,ATTACK,DoS_ICMP,DoS,DoS_ICMP,DoS|DoS_ICMP,4,1664434,8000,,32000,0.019226,0.092960,1.630904
aggressive,per_pcap,ATTACK,DoS_SYN,DoS,DoS_SYN,DoS|DoS_SYN,4,1766923,8000,,32000,0.018111,0.092960,1.630904
aggressive,per_pcap,ATTACK,DoS_UDP,DoS,DoS_UDP,DoS|DoS_UDP,4,2266865,8000,,32000,0.014116,0.092960,1.630904
aggressive,per_pcap,ATTACK,MQTT_DDoS_Connect_Flood,MQTT,MQTT_DDoS_Connect_Flood,MQTT|MQTT_DDoS_Connect_Flood,1,691837,15000,,15000,0.021681,0.043575,1.630904
aggressive,per_pcap,ATTACK,MQTT_DDoS_Publish_Flood,MQTT,MQTT_DDoS_Publish_Flood,MQTT|MQTT_DDoS_Publish_Flood,1,110171,15000,,15000,0.136152,0.043575,1.630904
aggressive,per_pcap,ATTACK,MQTT_DoS_Connect_Flood,MQTT,MQTT_DoS_Connect_Flood,MQTT|MQTT_DoS_Connect_Flood,1,51077,15000,,15000,0.293674,0.043575,1.630904
aggressive,per_pcap,ATTACK,MQTT_Malformed_Data,MQTT,MQTT_Malformed_Data,MQTT|MQTT_Malformed_Data,1,2053,15000,,2053,1.000000,0.005964,1.630904
aggressive,per_pcap,ATTACK,Ping_Sweep,Recon,Ping_Sweep,Recon|Ping_Sweep,1,296,,,296,1.000000,0.000860,1.630904
aggressive,per_pcap,ATTACK,Port_Scan,Recon,Port_Scan,Recon|Port_Scan,1,33594,,,33594,1.000000,0.097590,1.630904
aggressive,per_pcap,ATTACK,VulScan,Recon,VulScan,Recon|VulScan,1,869,,,869,1.000000,0.002524,1.630904
aggressive,per_pcap,ATTACK,ARP_Spoofing,Spoofing,ARP_Spoofing,Spoofing|ARP_Spoofing,1,6423,,,6423,1.000000,0.018659,1.630904
aggressive,per_pcap,BENIGN,profiling_interaction,,,benign|device|Blink_Camera,4,3125,,,3125,1.000000,,1.630904
aggressive,per_pcap,BENIGN,profiling_power,,,benign|device|Blink_Camera,1,15,,,15,1.000000,,1.630904
aggressive,per_pcap,BENIGN,profiling_interaction,,,benign|device|Ecobee_Camera,4,5778,,,5778,1.000000,,1.630904
aggressive,per_pcap,BENIGN,profiling_power,,,benign|device|Ecobee_Camera,1,90,,,90,1.000000,,1.630904
aggressive,per_pcap,BENIGN,profiling_interaction,,,benign|device|M1T_Camera,8,3718,,,3718,1.000000,,1.630904
aggressive,per_pcap,BENIGN,profiling_power,,,benign|device|M1T_Camera,1,13,,,13,1.000000,,1.630904
aggressive,per_pcap,BENIGN,profiling_interaction,,,benign|device|Singcall,2,28,,,28,1.000000,,1.630904
aggressive,per_pcap,BENIGN,profiling_power,,,benign|device|Singcall,1,16,,,16,1.000000,,1.630904
aggressive,per_pcap,BENIGN,publisher_benign,,,benign|publisher|Benign_train,1,77427,,,77427,1.000000,,1.630904
aggressive,per_pcap,BENIGN,profiling_active,,,benign|singleton|Active,1,41622,,,41622,1.000000,,1.630904
aggressive,per_pcap,BENIGN,profiling_active,,,benign|singleton|ActiveBroker,1,79238,,,79238,1.000000,,1.630904
group_balanced,per_modeling_group,ATTACK,DDoS_ICMP,DDoS,DDoS_ICMP,DDoS|DDoS_ICMP,8,6147552,,60000,60000,0.009760,0.121646,2.336831
group_balanced,per_modeling_group,ATTACK,DDoS_SYN,DDoS,DDoS_SYN,DDoS|DDoS_SYN,4,3206644,,60000,60000,0.018711,0.121646,2.336831
group_balanced,per_modeling_group,ATTACK,DDoS_UDP,DDoS,DDoS_UDP,DDoS|DDoS_UDP,8,6541281,,60000,60000,0.009173,0.121646,2.336831
group_balanced,per_modeling_group,ATTACK,DoS_ICMP,DoS,DoS_ICMP,DoS|DoS_ICMP,4,1664434,,60000,60000,0.036048,0.121646,2.336831
group_balanced,per_modeling_group,ATTACK,DoS_SYN,DoS,DoS_SYN,DoS|DoS_SYN,4,1766923,,60000,60000,0.033957,0.121646,2.336831
group_balanced,per_modeling_group,ATTACK,DoS_UDP,DoS,DoS_UDP,DoS|DoS_UDP,4,2266865,,60000,60000,0.026468,0.121646,2.336831
group_balanced,per_modeling_group,ATTACK,MQTT_DDoS_Connect_Flood,MQTT,MQTT_DDoS_Connect_Flood,MQTT|MQTT_DDoS_Connect_Flood,1,691837,,30000,30000,0.043363,0.060823,2.336831
group_balanced,per_modeling_group,ATTACK,MQTT_DDoS_Publish_Flood,MQTT,MQTT_DDoS_Publish_Flood,MQTT|MQTT_DDoS_Publish_Flood,1,110171,,30000,30000,0.272304,0.060823,2.336831
group_balanced,per_modeling_group,ATTACK,MQTT_DoS_Connect_Flood,MQTT,MQTT_DoS_Connect_Flood,MQTT|MQTT_DoS_Connect_Flood,1,51077,,30000,30000,0.587349,0.060823,2.336831
group_balanced,per_modeling_group,ATTACK,MQTT_Malformed_Data,MQTT,MQTT_Malformed_Data,MQTT|MQTT_Malformed_Data,1,2053,,30000,2053,1.000000,0.004162,2.336831
group_balanced,per_modeling_group,ATTACK,Ping_Sweep,Recon,Ping_Sweep,Recon|Ping_Sweep,1,296,,,296,1.000000,0.000600,2.336831
group_balanced,per_modeling_group,ATTACK,Port_Scan,Recon,Port_Scan,Recon|Port_Scan,1,33594,,,33594,1.000000,0.068110,2.336831
group_balanced,per_modeling_group,ATTACK,VulScan,Recon,VulScan,Recon|VulScan,1,869,,,869,1.000000,0.001762,2.336831
group_balanced,per_modeling_group,ATTACK,ARP_Spoofing,Spoofing,ARP_Spoofing,Spoofing|ARP_Spoofing,1,6423,,,6423,1.000000,0.013022,2.336831
group_balanced,per_modeling_group,BENIGN,profiling_interaction,,,benign|device|Blink_Camera,4,3125,,,3125,1.000000,,2.336831
group_balanced,per_modeling_group,BENIGN,profiling_power,,,benign|device|Blink_Camera,1,15,,,15,1.000000,,2.336831
group_balanced,per_modeling_group,BENIGN,profiling_interaction,,,benign|device|Ecobee_Camera,4,5778,,,5778,1.000000,,2.336831
group_balanced,per_modeling_group,BENIGN,profiling_power,,,benign|device|Ecobee_Camera,1,90,,,90,1.000000,,2.336831
group_balanced,per_modeling_group,BENIGN,profiling_interaction,,,benign|device|M1T_Camera,8,3718,,,3718,1.000000,,2.336831
group_balanced,per_modeling_group,BENIGN,profiling_power,,,benign|device|M1T_Camera,1,13,,,13,1.000000,,2.336831
group_balanced,per_modeling_group,BENIGN,profiling_interaction,,,benign|device|Singcall,2,28,,,28,1.000000,,2.336831
group_balanced,per_modeling_group,BENIGN,profiling_power,,,benign|device|Singcall,1,16,,,16,1.000000,,2.336831
group_balanced,per_modeling_group,BENIGN,publisher_benign,,,benign|publisher|Benign_train,1,77427,,,77427,1.000000,,2.336831
group_balanced,per_modeling_group,BENIGN,profiling_active,,,benign|singleton|Active,1,41622,,,41622,1.000000,,2.336831
group_balanced,per_modeling_group,BENIGN,profiling_active,,,benign|singleton|ActiveBroker,1,79238,,,79238,1.000000,,2.336831
