pcap_path,packet_index_previous,packet_index_current,previous_timestamp,current_timestamp,delta_seconds,delta_magnitude_seconds
data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,5240,5241,1699287196.978431,1699287196.978426,-5.0067901611328125e-06,5.0067901611328125e-06
data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,6301,6302,1699287256.978265,1699287256.978261,-4.0531158447265625e-06,4.0531158447265625e-06
data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,8636,8637,1699287376.981093,1699287376.981088,-5.0067901611328125e-06,5.0067901611328125e-06
data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,10751,10752,1699287489.982255,1699287489.982121,-0.00013399124145507812,0.00013399124145507812
data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,12016,12017,1699287556.981411,1699287556.981406,-5.0067901611328125e-06,5.0067901611328125e-06
data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,15472,15473,1699287736.979738,1699287736.979736,-1.9073486328125e-06,1.9073486328125e-06
data/raw/WiFI_and_MQTT/profiling/PCAP/Idle/Idle.pcap,260057,260058,1698985786.857267,1698985786.857266,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,886,887,1693340347.537424,1693340347.537399,-2.5033950805664062e-05,2.5033950805664062e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,888,889,1693340347.537424,1693340347.537399,-2.5033950805664062e-05,2.5033950805664062e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,912,913,1693340347.542993,1693340347.542984,-9.059906005859375e-06,9.059906005859375e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,914,915,1693340347.542993,1693340347.542984,-9.059906005859375e-06,9.059906005859375e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,916,917,1693340347.542993,1693340347.542984,-9.059906005859375e-06,9.059906005859375e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,918,919,1693340347.542993,1693340347.542984,-9.059906005859375e-06,9.059906005859375e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,920,921,1693340347.542993,1693340347.542984,-9.059906005859375e-06,9.059906005859375e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,922,923,1693340347.542993,1693340347.542984,-9.059906005859375e-06,9.059906005859375e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,924,925,1693340347.542993,1693340347.542984,-9.059906005859375e-06,9.059906005859375e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,926,927,1693340347.542993,1693340347.542984,-9.059906005859375e-06,9.059906005859375e-06
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,409,410,1694532823.237381,1694532823.237336,-4.506111145019531e-05,4.506111145019531e-05
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,426,427,1694532824.237921,1694532824.237789,-0.00013208389282226562,0.00013208389282226562
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,428,429,1694532824.237947,1694532824.237789,-0.00015807151794433594,0.00015807151794433594
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,456,457,1694532825.234832,1694532825.234804,-2.8133392333984375e-05,2.8133392333984375e-05
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,458,459,1694532825.234928,1694532825.234804,-0.0001239776611328125,0.0001239776611328125
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,468,469,1694532825.236311,1694532825.236278,-3.2901763916015625e-05,3.2901763916015625e-05
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,472,473,1694532825.236793,1694532825.236715,-7.796287536621094e-05,7.796287536621094e-05
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,496,497,1694532826.237114,1694532826.236974,-0.0001399517059326172,0.0001399517059326172
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,498,499,1694532826.237195,1694532826.236974,-0.00022101402282714844,0.00022101402282714844
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,502,503,1694532826.237374,1694532826.237339,-3.504753112792969e-05,3.504753112792969e-05
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,87,88,1693494698.201404,1693494698.201399,-5.0067901611328125e-06,5.0067901611328125e-06
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,314,315,1693494698.209852,1693494698.209851,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,316,317,1693494698.209852,1693494698.209851,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,318,319,1693494698.209852,1693494698.209851,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,713,714,1693494698.229023,1693494698.229022,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,715,716,1693494698.229023,1693494698.229022,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,785,786,1693494698.232181,1693494698.232153,-2.8133392333984375e-05,2.8133392333984375e-05
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,905,906,1693494698.235449,1693494698.235448,-1.1920928955078125e-06,1.1920928955078125e-06
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,1339,1340,1693494698.263765,1693494698.263763,-2.1457672119140625e-06,2.1457672119140625e-06
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,1341,1342,1693494698.263765,1693494698.263763,-2.1457672119140625e-06,2.1457672119140625e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,1431,1432,1693926623.225047,1693926623.225046,-1.1920928955078125e-06,1.1920928955078125e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,1564,1565,1693926623.227964,1693926623.227954,-1.0013580322265625e-05,1.0013580322265625e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,1820,1821,1693926623.232876,1693926623.232871,-5.0067901611328125e-06,5.0067901611328125e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,2027,2028,1693926623.239573,1693926623.239568,-5.0067901611328125e-06,5.0067901611328125e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,2275,2276,1693926623.244557,1693926623.244553,-3.814697265625e-06,3.814697265625e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,2658,2659,1693926623.250937,1693926623.250936,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,3014,3015,1693926623.261139,1693926623.261134,-5.0067901611328125e-06,5.0067901611328125e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,4998,4999,1693926623.296536,1693926623.296533,-2.86102294921875e-06,2.86102294921875e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,6346,6347,1693926623.321816,1693926623.321814,-1.9073486328125e-06,1.9073486328125e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,7496,7497,1693926623.347393,1693926623.347392,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,1041,1042,1693939620.591666,1693939620.591662,-4.0531158447265625e-06,4.0531158447265625e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,583884,583885,1693939634.620688,1693939634.620687,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,635851,635852,1693939635.522371,1693939635.52237,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,749264,749265,1693939637.528692,1693939637.52869,-1.9073486328125e-06,1.9073486328125e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,749267,749268,1693939637.528693,1693939637.528692,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,795117,795118,1693939638.345362,1693939638.345361,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,838021,838022,1693939639.096494,1693939639.096493,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,850315,850316,1693939639.336155,1693939639.336154,-9.5367431640625e-07,9.5367431640625e-07
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,905425,905426,1693939640.277222,1693939640.27722,-1.9073486328125e-06,1.9073486328125e-06
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,913637,913638,1693939640.416466,1693939640.416465,-9.5367431640625e-07,9.5367431640625e-07
