pcap_id,pcap_path,binary_label,attack_family,attack_type,benign_category,modeling_group_key,status,total_windows,attack_windows,benign_windows,pcap_attack_score,max_window_attack_score,mean_window_attack_score,K1_R0.005,K1_R0.01,K1_R0.025,K1_R0.05,K3_R0.005,K3_R0.01,K3_R0.025,K3_R0.05,K5_R0.005,K5_R0.01,K5_R0.025,K5_R0.05
Owltron_Camera_WAN_WATCH-e3699111318bff69,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_WAN_WATCH.pcap,BENIGN,,,profiling_interaction,benign|device|Owltron_Camera,OK,1400,3,1397,0.0021428571,0.9747724533,0.5608644896,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN
Recon-OS_Scan_train-374d28e87069ff50,data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-OS_Scan_train.pcap,ATTACK,Recon,OS_Scan,,Recon|OS_Scan,OK,6736,5853,883,0.8689133017,0.9999982715,0.9047866973,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK
TCP_IP-DDoS-TCP1_train-4bd6e516680531ed,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP1_train.pcap,ATTACK,DDoS,DDoS_TCP,,DDoS|DDoS_TCP,OK,808944,808655,289,0.9996427441,0.9999935031,0.9998818930,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK
TCP_IP-DDoS-TCP2_train-eb9fb6bc59c007af,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP2_train.pcap,ATTACK,DDoS,DDoS_TCP,,DDoS|DDoS_TCP,OK,788029,785040,2989,0.9962069924,0.9999967217,0.9977512576,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK
TCP_IP-DDoS-TCP3_train-168296df72c3c541,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP3_train.pcap,ATTACK,DDoS,DDoS_TCP,,DDoS|DDoS_TCP,OK,815984,815697,287,0.9996482774,0.9999935031,0.9997772427,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK
TCP_IP-DDoS-TCP4_train-c56180c095ed3093,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-TCP4_train.pcap,ATTACK,DDoS,DDoS_TCP,,DDoS|DDoS_TCP,OK,803640,802578,1062,0.9986785128,0.9999981523,0.9992858292,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK
TCP_IP-DoS-TCP1_train-6a08fbf1e5b3072a,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-TCP1_train.pcap,ATTACK,DoS,DoS_TCP,,DoS|DoS_TCP,OK,381507,380172,1335,0.9965007195,0.9999967217,0.9988062168,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK
TCP_IP-DoS-TCP2_train-8853e4b749af42d2,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-TCP2_train.pcap,ATTACK,DoS,DoS_TCP,,DoS|DoS_TCP,OK,381940,381285,655,0.9982850710,0.9999967217,0.9988631784,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK
TCP_IP-DoS-TCP3_train-d43deb6bda91d593,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-TCP3_train.pcap,ATTACK,DoS,DoS_TCP,,DoS|DoS_TCP,OK,383711,383304,407,0.9989393059,0.9999945164,0.9996437514,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK
TCP_IP-DoS-TCP4_train-ee50fb6ee9902745,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DoS-TCP4_train.pcap,ATTACK,DoS,DoS_TCP,,DoS|DoS_TCP,OK,373802,372203,1599,0.9957223343,0.9999967217,0.9980546178,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK
